"plotID","top_height","ba_ha","lor","qmdbh","dens","AGB_ha","V_ha","Vmerch_ha"
31,22,13.0929813641165,18.6596909834147,23.5650164438729,300.201718522513,59.3455615703532,105.26351349423,94.6173042663995
35,23.1,19.2502420652885,19.317137468002,18.3805369326098,725.487486429406,82.2489284198568,158.019233374726,134.146311784425
37,28,27.5030965494693,20.9227189986998,24.1503968221366,600.403437045025,128.386901551742,249.079622941507,224.938404381724
41,15.2,31.3297518673608,12.5403264517205,12.2074705180311,2676.79865682574,100.906628545236,179.117137891883,84.5195387394236
46,26.8,34.6820024458025,21.8201913375215,40.0585140195508,275.184908645637,218.201567284653,318.041718714773,297.15058162605
49,29.6,38.721054335798,19.837279687343,21.9240484956366,1025.68920495192,181.212524047829,335.99399304776,302.174967712428
51,26.7,23.1879291157387,17.0933383496108,22.175042277299,600.403437045025,126.423130716418,175.147843979495,153.067123058718
52,30.4,36.7341148584075,20.7590652205075,19.9445827978106,1175.79006421317,166.983598725815,329.418034644042,290.596416547446
54,22.9,17.1443330001006,18.6803513082663,22.0172533356103,450.302577783769,80.9494730528364,141.978724346137,125.720584975034
58,18.2,39.4059301280117,13.6663118730302,11.7204276653002,3652.45424202391,128.834503203902,243.727685126714,117.989078332001
60,21.2,28.6722011593984,16.5744977324465,12.9511992965281,2176.46245928822,114.199192858988,206.362842015242,122.288111908608
64,27,34.4741249497007,22.8336363320306,26.4920591876132,625.420246921902,186.640629199816,343.522854291132,313.674190123537
65,33.5,67.1430362217695,20.3786185986529,29.2287059241425,1000.67239507504,398.987896736725,599.710415369931,546.827569777805
67,27.4,40.4549452052211,19.8382997024239,28.1409160093653,650.437056798778,200.566685802612,336.165701062281,307.921570723486
72,25.7,29.9313139743977,21.446791281144,20.2908913128593,925.621965444414,144.678059671074,278.887130887221,241.601762201278
73,31.5,61.9936129737564,20.3860881632302,23.7366024241646,1400.94135310506,297.80685663913,547.241134974517,489.989507743872
74,36,37.6238423306172,26.8228292753746,35.7293436827491,375.252148153141,233.338667390122,451.279819090113,420.353042714799
77,37,39.3837866556008,22.4025508218705,27.7658617176395,650.437056798778,219.93083055127,393.159834751786,362.105369092457
80,22.7,39.2571346385997,18.5159265787991,14.2785910812414,2451.64736793385,163.019600396385,318.228794512313,229.552989606583
81,26.2,50.8948752892209,18.2984152494312,20.4399711192271,1551.04221236632,194.918412323781,381.947083336901,317.877034752893
84,24.7,36.0006688232483,18.1205886478335,20.4064773584717,1100.73963458255,158.060233999639,275.187609377189,225.732039361313
88,23.9,38.8485905198431,18.5714885042734,19.4995710011982,1300.87411359756,154.396022300727,296.566973317356,241.149126197926
91,25.8,34.4916707534832,20.8627608509649,17.3973144974774,1450.97497285881,156.11145559522,314.056313224533,254.78536089703
92,27.4,34.1344083232735,23.7080642589607,19.4337391510565,1150.7732543363,164.880533005182,357.030234139935,310.975820974595
94,26.4,33.7897796577134,20.4992017993386,18.7341388695524,1225.82368396693,159.615630140784,302.486767458162,258.762862087349
95,30.9,41.3651853528495,23.7151895980423,27.4206387338338,700.47067655253,222.511966472607,435.526831756999,400.731262884658
96,29.7,38.5272449197727,23.9556133080519,20.8745352576344,1125.75644445942,187.695418390963,407.984152315003,362.99970728323
97,28.7,35.2160589884815,21.1598474949424,22.6295255931588,875.588345690662,160.71573416782,322.473709263711,285.648703181154
99,29.5,26.2156117964388,24.8858828123302,28.0152584475381,425.285767906893,145.903355400099,286.880158705102,262.534860309373
100,32.5,42.3839815653136,24.4014814004417,31.3132850110272,550.369817291273,245.383653837967,447.052757463536,412.126961936649
105,31.1,55.5314079711785,21.9582481067944,25.3444049769641,1100.73963458255,291.006274438177,537.905830441864,490.815094671569
108,32.5,39.6400182649263,27.8096692280965,28.4076961403068,625.420246921902,224.346505379969,492.049220017878,453.744280401142
109,35.7,42.9680819626779,22.6877503799941,27.9468628446404,700.47067655253,238.890347378797,430.706530355346,396.677301232485
112,24.5,48.045283499321,20.4628482113719,17.5934467086074,1976.32798027321,217.699971192006,431.256823059919,358.235828530356
114,27.3,44.1560291547206,20.3768080176671,17.5457796510056,1826.22712101195,191.423906893416,393.95720087419,322.563515534193
115,25.4,35.1331634160757,21.0959401380784,18.7246037157993,1275.85730372068,151.350784072004,301.792347650262,238.886222888083
118,27.6,42.1814483677883,18.9337284101284,19.0754078970982,1475.99178273569,178.260511502639,343.735489251188,288.519166040005
119,28.9,56.7185692369599,23.2100687910675,25.3276835805321,1125.75644445942,306.951550447426,578.800936129181,525.012731087755
120,28.2,53.2667810975303,20.7293948208653,22.2016870775828,1375.92454322818,283.79705974966,481.689669871644,419.957721778074
122,25.9,45.805550839998,19.9805551003951,22.5122671873146,1150.7732543363,211.549837348616,392.629311922984,344.43386058245
128,29.3,50.1490116191339,22.352969966525,21.1608377110071,1425.95816298194,249.735683991829,480.477794912502,416.09789496236
131,31,37.662254476636,21.4447513973563,27.6899548573124,625.420246921902,203.16770968327,352.780771326732,322.763084475772
132,33.4,51.3868847769227,27.7886471965172,34.4789395534038,550.369817291273,310.695386749281,638.3294395362,595.36509957863
133,33.6,74.074650419999,24.837306368924,26.9260240145249,1300.87411359756,436.012210321696,820.402694208164,751.774020614057
135,32.3,41.9376736897037,25.1085298062764,24.0181969303231,925.621965444414,224.207650498578,469.788402357783,427.736136648767
136,38.6,56.4183061088477,31.1790705676266,33.2324563318175,650.437056798778,359.127515262946,792.012253924701,735.671547044261
137,37,47.4534417282833,30.3851917885357,32.4047768888692,575.38662716815,292.84887941548,647.805470828657,599.520996404461
138,35.6,50.4042411724762,23.1283411724441,30.8241247510236,675.453866675654,289.457946053476,517.220470150103,479.551816189538
146,29,53.9295330654897,24.3687164611298,22.9747478432635,1300.87411359756,285.637757959925,581.580708152029,520.514613293897
147,27.6,56.249705277652,21.6344026876723,22.6102418322822,1400.94135310506,277.42724324699,530.873672016994,474.527394590172
149,30.6,47.7660242505407,24.6905175459849,23.7774027959517,1075.72282470567,253.749870086206,519.89098713511,468.819197752007
152,33,50.7293592186007,26.7601052562678,28.4049346505145,800.537916060034,284.778672252387,598.42120074616,549.825547138763
153,33.2,66.7146278167597,24.8490655624487,25.3111393181916,1325.89092347443,342.401278918779,726.505880083923,659.231907937043
154,35.4,54.4917257683215,25.860378758596,24.2915623211024,1175.79006421317,281.44733225422,623.747331767638,568.415608637542
155,32.8,43.9765235966501,25.1506471938847,25.2880604238443,875.588345690662,234.679110769642,488.611299283675,445.86798259937
156,34.6,45.5508124905689,25.8338158799996,23.2195036302934,1075.72282470567,242.123500580371,522.51455636574,475.564825978485
157,33.9,65.2802337973442,26.3369629018971,27.7968586145487,1075.72282470567,393.986545164308,763.634204615859,699.277008579874
158,34.8,73.8410141906846,27.7634966532869,25.238405628012,1475.99178273569,406.269151388998,913.917149911249,834.156737864465
159,35.8,54.2929453686937,27.6916560843555,24.7801847361063,1125.75644445942,296.678473039301,670.754538319137,612.081532197565
161,36.8,67.1162754325738,26.1235622632583,26.9590193331333,1175.79006421317,376.884296779032,770.000242590096,702.404415810702
164,29.7,94.5645929216337,23.8481173405052,24.8402563057094,1951.31117039633,508.491696351739,999.250484934577,905.259670486206
166,34.1,65.1925244265882,26.2788268343823,23.7143916827178,1475.99178273569,345.917284274423,760.519688309742,690.647903754754
168,32.8,84.9248929568432,26.1872770709368,26.6189966679166,1526.02540248944,455.434791318627,985.729291781333,904.80668895675
173,35.6,70.4561673205573,27.6688981151691,23.4877775089022,1626.09264199694,395.543029300207,867.157428156391,775.010622898203
176,38.9,71.369708358483,32.226882267776,37.3774253136425,650.437056798778,452.153124463577,1029.77425101949,960.7978666546
177,9.1,9.55193164956491,7.71045872767403,8.45532376671645,1701.14307162757,36.3848158785954,36.0194156750469,1.18589256208839
178,12.7,6.9186660630753,8.2508945610687,10.0303539319408,875.588345690662,27.1196370149717,27.5777208342535,7.91998923869225
180,12,3.03892142623611,8.56312917429057,10.1543750833487,375.252148153141,11.7225157972251,13.0128602174455,3.4441945773335
