plotID,avg,std,ske,kur,p05,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p99,d0,d1,d2,d3,d4,cov,dns
268,16.65,4.58,-1.94,6.22,4.11,10.02,12.85,15.17,16.17,16.78,17.22,17.59,17.87,18.17,18.46,18.72,18.96,19.21,19.44,19.68,19.97,20.24,20.6,21.18,2.2,4.3,8.9,60.8,13.5,93.9,89.7
269,17.52,4.29,-2.16,7.42,6.21,11.54,15.77,16.72,17.2,17.58,17.89,18.16,18.39,18.61,18.83,19.09,19.37,19.66,19.93,20.24,20.58,20.97,21.43,22.19,2.7,3,4.3,50.4,19.3,89.5,79.7
270,14.76,5.36,-1.18,3.24,2.64,4.65,7.83,11.01,12.49,13.8,14.82,15.68,16.41,16.91,17.29,17.68,18,18.29,18.66,18.97,19.31,19.66,20.11,20.55,7.6,7.2,16.3,53.4,5.7,93.8,90.2
272,17.07,6.09,-0.51,2.44,6.06,8.51,10.33,11.58,12.76,13.73,14.6,15.56,16.63,17.74,18.9,20.09,21.05,21.82,22.35,22.92,23.44,24.07,24.97,26.65,1.8,7.9,18,17.4,27.6,82.7,76.5
273,14.28,4.2,-0.93,3.96,5.57,8.94,10.48,11.4,12.1,12.75,13.4,13.88,14.41,14.91,15.38,15.81,16.23,16.7,17.19,17.7,18.35,19.05,19.95,21.46,2,6.2,27.2,32.1,3.5,80.8,71
274,15.35,5.42,-0.15,2.48,6.99,8.96,10,10.71,11.42,12.15,12.97,13.66,14.24,14.97,15.69,16.41,17.43,18.61,19.97,21.23,22.08,22.93,23.78,24.78,1.3,10.4,30.9,21.9,21.5,92.1,86.4
275,14.86,6.55,-0.99,2.61,1.94,2.49,3.59,7.83,12.85,14.2,15.38,16.11,16.59,17.17,17.68,18.21,18.61,19.11,19.62,20.09,20.48,21.01,21.9,23.02,9,2.7,8.3,33.2,15.2,77.9,68.5
276,18.31,5.15,-1.38,4.9,7.35,11.33,13.11,14.87,16.72,17.86,18.5,18.95,19.3,19.57,19.87,20.18,20.55,21.09,21.61,22.06,22.57,23.18,24.28,26.67,2.5,3.1,11.1,32.7,35.8,93.4,87.7
277,16.08,5.47,-1.07,3.42,2.8,8.08,10.05,11.54,13.25,14.49,15.42,16.32,17.06,17.72,18.32,18.86,19.34,19.73,20.17,20.6,21.02,21.52,22.14,23.52,3.2,7.4,15.8,35.7,23.9,92.5,86
279,15.18,6.12,-0.82,2.48,2.91,4.5,6.49,9.17,11.62,13.25,14.52,15.4,16.34,17.14,17.79,18.25,18.83,19.5,20.08,20.61,21.08,21.6,22.2,22.91,8.1,9.3,14,33.1,23.2,92.4,87.7
288,15.34,10.92,-0.02,1.23,1.83,2.12,2.39,2.71,3.23,4.28,6.08,8.79,11.2,14.03,21.39,24.32,25.43,26.14,26.63,27.11,27.55,28.01,28.62,29.69,22.3,9.1,8.4,2.6,7.6,87.4,84.3
3,2.39,1.82,2.64,9.57,1.33,1.37,1.4,1.44,1.48,1.52,1.55,1.61,1.67,1.73,1.8,1.89,1.96,2.08,2.17,2.28,2.55,5.13,6.91,9.45,1.8,0.8,0.1,0,0,2.7,2.6
31,10.26,7.79,-0.01,1.31,1.34,1.41,1.47,1.55,1.66,1.78,1.96,2.47,9.86,12.72,14.01,14.86,15.72,16.49,17.26,18.4,19.22,19.88,21.14,22.46,1.1,0.5,2.7,5.3,1.6,11.8,11.2
348,2.73,1.2,2.91,15.41,1.47,1.63,1.76,1.88,2,2.11,2.21,2.31,2.42,2.53,2.63,2.75,2.86,2.98,3.11,3.27,3.46,3.7,4.35,8.51,51.9,2.7,0.1,0,0,55.2,54.7
349,4.33,1.6,-0.01,2.17,1.67,2.06,2.44,2.78,3.09,3.37,3.66,3.92,4.14,4.38,4.62,4.83,5.07,5.29,5.54,5.81,6.11,6.47,6.89,7.58,36.5,24.6,0,0,0,61.7,61.1
35,7.96,6.62,0.56,1.65,1.46,1.64,1.81,2.03,2.23,2.47,2.72,3.06,3.46,4.01,5.09,8.37,11.56,13.3,14.76,16.11,17.1,17.96,18.93,20.54,19.1,4.1,7.3,12.1,0.9,46.1,43.5
350,2.21,2.05,3.87,17.53,1.32,1.35,1.37,1.4,1.43,1.45,1.48,1.51,1.55,1.6,1.65,1.7,1.76,1.86,1.96,2.1,2.26,2.85,6.45,12.2,1.7,0.2,0.3,0,0,2.3,2.3
351,6.25,0.5,0.06,3.93,5.47,5.64,5.76,5.85,5.93,6,6.06,6.12,6.18,6.23,6.29,6.35,6.41,6.49,6.57,6.67,6.78,6.91,7.09,7.42,0.4,87.2,0,0,0,97,87.6
352,5.23,1.55,-0.16,2.64,2.54,3.14,3.55,3.89,4.17,4.4,4.65,4.88,5.08,5.29,5.5,5.7,5.9,6.14,6.35,6.58,6.86,7.21,7.66,8.5,24,33.8,0,0,0,63,57.8
353,6.39,2.31,0.03,2.64,2.42,3.22,3.8,4.38,4.82,5.17,5.5,5.81,6.13,6.45,6.73,7.03,7.35,7.68,8,8.35,8.72,9.27,10.2,11.73,23.2,63.1,5.7,0,0,93.4,92
354,5.4,1.72,-0.42,2.4,2.19,2.82,3.39,3.81,4.23,4.56,4.86,5.15,5.42,5.66,5.88,6.1,6.29,6.51,6.71,6.95,7.21,7.48,7.87,8.42,30,56.4,0,0,0,88.9,86.4
355,5.74,3.84,0.65,2.01,1.58,1.83,2.09,2.32,2.53,2.73,2.96,3.18,3.44,3.81,4.86,5.93,7.35,8.26,9.04,9.97,10.85,11.69,12.74,14,24.7,14.5,11.5,0.1,0,53.7,50.8
356,6.29,3.2,0.57,3.06,1.7,2.22,2.72,3.27,3.73,4.26,4.74,5.17,5.65,6.1,6.52,6.95,7.36,7.81,8.3,8.84,9.63,10.63,11.95,15.23,25.3,41.3,9.9,1,0,80.4,77.4
357,8.48,1.16,-0.98,7.36,6.69,7.19,7.47,7.68,7.85,7.99,8.13,8.26,8.39,8.52,8.65,8.77,8.91,9.04,9.19,9.35,9.56,9.87,10.26,10.87,0.7,88.7,8.1,0,0,99.4,97.4
358,8.95,1.18,-0.13,3.75,7.02,7.47,7.77,7.99,8.19,8.35,8.5,8.66,8.8,8.95,9.11,9.26,9.41,9.55,9.71,9.9,10.13,10.43,10.9,11.73,0.3,78.2,17.2,0,0,99,95.7
359,9.14,4.28,0.19,2.17,2.44,3.48,4.45,5.15,5.76,6.38,7.01,7.56,8.14,8.76,9.46,10.26,11.04,11.76,12.39,13.2,14.01,15.16,16.45,18.22,13.1,32.5,25.6,8.7,0,84.7,79.9
360,9.45,4.93,0.46,2.49,2.28,3.28,4.2,5.03,5.6,6.26,6.81,7.42,8.07,8.68,9.31,10.2,11.27,12.15,13.01,14,15.08,16.39,18.66,21.44,13.3,32.2,20.8,10.5,2.1,85.5,78.9
